"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon","age_years","experiment","age_months","condition","agegroup"
124,521.278523750328,"BMT","UCB",0.373295049052901,5.19103407418873,NA,0.273532898873731,0.0114465272417558,NA,22,"Adolescent",264,"Smooth","[18,25)"
125,423.53365232047,"BMT","UCB",0.490808416789723,6.43422545499146,NA,0.29139813404499,0.00673867184352489,NA,22,"Adolescent",264,"Smooth","[18,25)"
126,488.633184755238,"BMT","UCB",0.412542772949865,7.52195565568809,NA,0.225328473898168,0.00883533574226401,NA,21,"Adolescent",252,"Smooth","[18,25)"
127,693.000793613258,"BMT","UCB",0.166842659768364,0.15654070532182,NA,0.10030213554991,0.0764548309983603,NA,25,"Adolescent",300,"Smooth","[25,55]"
128,555.228543375053,"BMT","UCB",0.332478778260673,6.9421582723628,NA,0.101642183320166,0.0211728935081969,NA,22,"Adolescent",264,"Smooth","[18,25)"
129,384.762789156526,"BMT","UCB",0.537420526804395,3.77118606021483,NA,0.184106020578918,0.021776905423876,NA,25,"Adolescent",300,"Smooth","[25,55]"
130,537.56631903561,"BMT","UCB",0.353713114481993,7.70642810092292,NA,0.281727540847967,0.00673833943716474,NA,22,"Adolescent",264,"Smooth","[18,25)"
131,524.297067373572,"BMT","UCB",0.369666017456268,2.60418733396624,NA,0.109173215177948,0.042684700768112,NA,22,"Adolescent",264,"Smooth","[18,25)"
132,712.853011276371,"BMT","UCB",0.142975413124012,6.25189481734251,NA,0.333719004168444,0.00674998751895035,NA,24,"Adolescent",288,"Smooth","[18,25)"
133,691.973876699308,"BMT","UCB",0.168077266384331,11.5681490050306,NA,0.126738263210236,0.00673799824502242,NA,23,"Adolescent",276,"Smooth","[18,25)"
134,553.432201992958,"BMT","UCB",0.33463842226375,6.67189201708294,NA,0.308784642917927,0.00706914481512561,NA,22,"Adolescent",264,"Smooth","[18,25)"
135,784.328942278142,"BMT","UCB",0.0570437704580324,0.659079769998186,NA,22.2462033919586,0.158947233432224,NA,20,"Adolescent",240,"Smooth","[18,25)"
136,751.456147885409,"BMT","UCB",0.0965649516668311,6.45534346651004,NA,0.326238394744751,0.00685983844177385,NA,23,"Adolescent",276,"Smooth","[18,25)"
137,706.012565183356,"BMT","UCB",0.151199311170563,4.38528222191105,NA,0.0926780274945042,0.0414319906858149,NA,18,"Adolescent",216,"Smooth","[18,25)"
138,784.328942278142,"BMT","UCB",0.0570437704580324,0.373549139039321,NA,9.71106057264715,0.08185632869943,NA,21,"Adolescent",252,"Smooth","[18,25)"
139,598.650030853076,"BMT","UCB",0.280275474383536,7.66916097135754,NA,0.299806614611013,0.00673863046373311,NA,25,"Adolescent",300,"Smooth","[25,55]"
140,610.687855151555,"BMT","UCB",0.265803049868112,6.70069130560054,NA,0.307965547230724,0.0067380880688225,NA,23,"Adolescent",276,"Smooth","[18,25)"
141,468.984839696172,"BMT","UCB",0.436164914598523,6.7437197294005,NA,0.297858695679841,0.00673811794991541,NA,24,"Adolescent",288,"Smooth","[18,25)"
142,388.386762080381,"BMT","UCB",0.533063620333094,3.20915541876171,NA,0.126012968915497,0.0307723902376281,NA,21,"Adolescent",252,"Smooth","[18,25)"
143,511.282579991816,"BMT","UCB",0.38531263112741,7.94556438993138,NA,0.251092912411416,0.00673963786745647,NA,24,"Adolescent",288,"Smooth","[18,25)"
144,793.197948766841,"BMT","UCB",0.046381044058984,1.96604338711475,NA,19.3947863070672,2.92778440172858,NA,22,"Adolescent",264,"Smooth","[18,25)"
145,592.445173014504,"BMT","UCB",0.287735239077809,7.39620544068822,NA,0.304597479006851,0.0067380327946855,NA,23,"Adolescent",276,"Smooth","[18,25)"
146,532.03341528369,"BMT","UCB",0.360365025152501,4.07434651270717,NA,0.235319038892641,0.0172993577529853,NA,22,"Adolescent",264,"Smooth","[18,25)"
147,619.551644351389,"BMT","UCB",0.25514659593304,8.30021605468582,NA,0.282476947540443,0.00673806910204828,NA,22,"Adolescent",264,"Smooth","[18,25)"
148,793.209912806145,"BMT","UCB",0.0463666603421732,0.271337619857184,NA,13.9824561557885,3.68476360480459,NA,22,"Adolescent",264,"Smooth","[18,25)"
149,805.66455075656,"BMT","UCB",0.03139312333623,0.0405613741220507,NA,0.0067379470084108,0.288551399513115,NA,25,"Adolescent",300,"Smooth","[25,55]"
